Unique ID,Instrument name,Type,Status,Jurisdiction,Region,Income group,Year,Emission_Coverage_%,Carbon_Price_USD,Revenue_Million_USD,Coal per capita (kWh),Oil per capita (kWh),Gas per capita (kWh),Nuclear per capita (kWh - equivalent),Hydro per capita (kWh - equivalent),Wind per capita (kWh - equivalent),Solar per capita (kWh - equivalent),Other renewables per capita (kWh - equivalent),Total_Energy_per_capita,Fossil_Fuel_Dependency_%,Population,Population_Log,Annual_CO2_emissions,GDP
ETS_CN_Chongqing,Chongqing pilot ETS,ETS,Implemented,Chongqing,East Asia & Pacific,Upper middle income,1990,0.0,,,5317.7954,1104.8817,133.65611,0.0,305.19406,0.00486456,0.004815914,0.17337292,6861.710323393999,95.54954815925615,1153582725.0,20.866138350388397,2483534300.0,2218396500000.0
Tax_CO,Colombia carbon tax,Carbon tax,Implemented,Colombia,Latin America & Caribbean,Upper middle income,1990,0.0,,,572.8102,3523.422,1153.4965,0.0,2354.4148,0.0,0.0,26.39483,7630.53833,68.79892968180661,32440064.0,17.294904790908614,56856930.0,280673281250.0
Tax_DK,Denmark carbon tax,Carbon tax,Implemented,Denmark,Europe & Central Asia,High income,1990,0.0,,,13778.127,20914.402,4094.1406,0.0,15.12885,329.75488,0.0,127.649666,39259.20299599999,98.79637547392863,5141024.0,15.452763033892964,53476972.0,165993687500.0
Tax_EE,Estonia carbon tax,Carbon tax,Implemented,Estonia,Europe & Central Asia,High income,1990,0.0,,,45867.75,26328.074,9052.518,0.0,0.0,0.0,0.0,0.0,81248.34199999999,100.0,1570309.0,14.266783610062664,36906188.0,22157033203.0
ETS_EU,EU ETS,ETS,Implemented,EU,Europe & Central Asia,High income,1990,0.0,,,10847.61,17388.373,6935.8574,4822.4224,1882.7373,5.0956674,0.07576103,129.1231,42011.29462843,83.71996319341804,,,3870252800.0,10464692555661.0
Tax_FI,Finland carbon tax,Carbon tax,Implemented,Finland,Europe & Central Asia,High income,1990,0.0009930948726293,,,12290.497,26803.049,5055.573,10704.294,6049.018,0.0,0.25345823,3231.1753,64133.85975823001,68.83901758982243,4986576.0,15.422260260397408,56921000.0,154275359375.0
Tax_FR,France carbon tax,Carbon tax,Implemented,France,Europe & Central Asia,High income,1990,0.0,,,4043.132,18600.6,5312.375,15308.712,2625.4983,0.013234526,0.0,104.897354,45995.227888526,60.780451110611736,56990239.0,17.85839058306745,394904320.0,1757646000000.0
ETS_CN_Fujian,Fujian pilot ETS,ETS,Implemented,Fujian,East Asia & Pacific,Upper middle income,1990,0.0,,,5317.7954,1104.8817,133.65611,0.0,305.19406,0.00486456,0.004815914,0.17337292,6861.710323393999,95.54954815925615,1153582725.0,20.866138350388397,2483534300.0,2218396500000.0
ETS_DE,Germany ETS,ETS,Implemented,Germany,Europe & Central Asia,High income,1990,0.0,,,19191.191,19286.57,7990.209,5314.539,604.115,2.4743102,0.03484944,56.260063,52445.39322264,88.60257716580601,79707963.0,18.19388006348599,1054795900.0,2492745500000.0
ETS_CN_Guangdong,Guangdong pilot ETS,ETS,Implemented,Guangdong (except Shenzhen),East Asia & Pacific,Upper middle income,1990,0.0,,,5317.7954,1104.8817,133.65611,0.0,305.19406,0.00486456,0.004815914,0.17337292,6861.710323393999,95.54954815925615,1153582725.0,20.866138350388397,2483534300.0,2218396500000.0
ETS_CN_Hubei,Hubei pilot ETS,ETS,Implemented,Hubei,East Asia & Pacific,Upper middle income,1990,0.0,,,5317.7954,1104.8817,133.65611,0.0,305.19406,0.00486456,0.004815914,0.17337292,6861.710323393999,95.54954815925615,1153582725.0,20.866138350388397,2483534300.0,2218396500000.0
Tax_IS,Iceland carbon tax,Carbon tax,Implemented,Iceland,Europe & Central Asia,High income,1990,0.0,,,2965.194,30792.492,0.0,0.0,45275.324,0.0,0.0,3469.1836,82502.19360000001,40.917319318404154,254842.0,12.448402948253428,2221979.0,9924658203.0
ETS_ID,Indonesia ETS,ETS,Implemented,Indonesia,East Asia & Pacific,Upper middle income,1990,0.0,,,216.82663,1995.971,935.85425,0.0,98.280365,0.0,0.0,19.199816,3266.132061,96.40307927524428,183501097.0,19.027731209092224,154990690.0,695869812500.0
Tax_IE,Ireland carbon tax,Carbon tax,Implemented,Ireland,Europe & Central Asia,High income,1990,0.0,,,11457.416,15291.416,6212.1274,0.0,550.9684,0.0,0.0,0.0,33511.9278,98.3559035956147,3514015.0,15.072270100934523,32945302.0,75694898437.0
Tax_IL,Israel carbon tax,Carbon tax,Implemented,Israel,Middle East & North Africa,High income,1990,0.0,,,6064.9634,22277.012,68.70991,0.0,1.8335186,0.0,0.0,0.0,28412.5188286,99.9935467931898,4544995.0,15.32953740550532,35824360.0,117384546875.0
Tax_JP,Japan carbon tax,Carbon tax,Implemented,Japan,East Asia & Pacific,High income,1990,0.0,,,7355.6846,23734.232,4077.4705,4379.877,1956.0409,0.0,0.022510398,287.17957,41790.507080398,84.15161613699442,123399767.0,18.630939789368963,1154853200.0,4169953250000.0
ETS_KZ,Kazakhstan ETS,ETS,Implemented,Kazakhstan,Europe & Central Asia,Upper middle income,1990,0.0,,,26250.768,14942.663,7637.2393,0.0,1192.7853,0.0,0.0,0.0,50023.4556,97.61554797505832,17154060.0,16.6577454965481,267405360.0,225079375000.0
ETS_KR,Korea ETS,ETS,Implemented,"Korea, Rep.",East Asia & Pacific,High income,1990,0.0,,,6652.9126,13382.297,717.8021,3332.6306,295.15744,0.0,0.0630147,0.0,24380.862754700003,85.12008745875637,44081425.0,17.60154907255791,250510830.0,677263000000.0
Tax_LT,Latvia carbon Tax,Carbon tax,Implemented,Latvia,Europe & Central Asia,High income,1990,0.0,,,3097.537,14807.6875,9655.763,0.0,4694.8394,0.0,0.0,0.0,32255.826900000004,85.44498823559846,2660131.0,14.793886303586799,19661604.0,48739183593.0
Tax_LI,Liechtenstein carbon tax,Carbon tax,Implemented,Liechtenstein,Europe & Central Asia,High income,1990,0.0,,,11909.408,17716.014,12505.66,3881.0312,2475.4448,2.9866703,0.047724012,81.682,48572.27439431199,86.73895246901124,28912.0,10.272046599948313,198971.0,
Tax_LU,Luxembourg carbon tax,Carbon tax,Implemented,Luxembourg,Europe & Central Asia,High income,1990,0.0,,,33527.42,50104.445,13050.525,0.0,509.40756,0.0,0.0,102.37729,97294.17485,99.37120094708321,381707.0,12.852411197381908,11809167.0,17171410156.0
ETS_US_MA,Massachusetts ETS,ETS,Implemented,Massachusetts,North America,High income,1990,0.0,,,21067.713,36742.098,20407.178,6657.093,3204.328,30.880726,4.065091,708.67883,88822.034647,88.06034370959078,253373387.0,19.350374800604705,5131760600.0,10977047000000.0
Tax_MX,Mexico carbon tax,Carbon tax,Implemented,Mexico,Latin America & Caribbean,Upper middle income,1990,0.0,,,473.81107,11064.771,3238.0417,98.50659,821.08765,0.033539873,0.033539873,193.34059,15889.625679746001,92.99541768838073,82820170.0,18.23218220079823,316745800.0,1224476625000.0
ETS_MX,Mexico ETS,ETS,Implemented,Mexico,Latin America & Caribbean,Upper middle income,1990,0.0,,,473.81107,11064.771,3238.0417,98.50659,821.08765,0.033539873,0.033539873,193.34059,15889.625679746001,92.99541768838073,82820170.0,18.23218220079823,316745800.0,1224476625000.0
ETS_MO,Montenegro ETS,ETS,Implemented,Montenegro,Europe & Central Asia,Upper middle income,1990,0.0,,,11909.408,17716.014,12505.66,3881.0312,2475.4448,2.9866703,0.047724012,81.682,48572.27439431199,86.73895246901124,620507.0,13.338293776372051,2209123.0,8081518066.0
Tax_NL,Netherlands carbon tax,Carbon tax,Implemented,Netherlands,Europe & Central Asia,High income,1990,0.0,,,6763.8506,28509.285,24486.62,647.1859,15.708396,10.349061,0.0,139.29651,60572.295467,98.65856187100806,15030886.0,16.525617775290552,163032750.0,488775312500.0
Tax_CA_NB,New Brunswick carbon tax,Carbon tax,Abolished,New Brunswick,North America,High income,1990,0.0,,,11356.943,34646.547,22944.13,7242.9595,29555.926,0.19183865,0.0,444.63837,106191.33570865,64.92772648530095,27789437.0,17.140166578412362,458017860.0,1051178250000.0
ETS_CA_NB,New Brunswick OBPS,ETS,Implemented,New Brunswick,North America,High income,1990,0.0,,,11356.943,34646.547,22944.13,7242.9595,29555.926,0.19183865,0.0,444.63837,106191.33570865,64.92772648530095,27789437.0,17.140166578412362,458017860.0,1051178250000.0
ETS_NZ,New Zealand ETS,ETS,Implemented,New Zealand,East Asia & Pacific,High income,1990,0.0,,,4100.1934,14961.488,13084.733,0.0,18959.074,0.0,0.0,2716.5137,53822.002100000005,59.727273504751324,3396981.0,15.03839794833563,25490110.0,87909210937.0
Tax_CA_NL,Newfoundland and Labrador carbon tax,Carbon tax,Abolished,Newfoundland and Labrador,North America,High income,1990,0.0,,,11356.943,34646.547,22944.13,7242.9595,29555.926,0.19183865,0.0,444.63837,106191.33570865,64.92772648530095,27789437.0,17.140166578412362,458017860.0,1051178250000.0
ETS_CA_NL,Newfoundland and Labrador PSS,ETS,Implemented,Newfoundland and Labrador,North America,High income,1990,0.0,,,11356.943,34646.547,22944.13,7242.9595,29555.926,0.19183865,0.0,444.63837,106191.33570865,64.92772648530095,27789437.0,17.140166578412362,458017860.0,1051178250000.0
Tax_CA_NT,Northwest Territories carbon tax,Carbon tax,Abolished,Northwest Territories,North America,High income,1990,0.0,,,11356.943,34646.547,22944.13,7242.9595,29555.926,0.19183865,0.0,444.63837,106191.33570865,64.92772648530095,27789437.0,17.140166578412362,458017860.0,1051178250000.0
Tax_NO,Norway carbon tax,Carbon tax,Implemented,Norway,Europe & Central Asia,High income,1990,0.0,,,2225.075,24110.426,5261.8853,0.0,79339.53,0.0,0.0,156.93373,111093.85003,28.44206613729507,4241440.0,15.260413627959892,35009000.0,158900921875.0
ETS_CA_NS,Nova Scotia OBPS,ETS,Implemented,Nova Scotia,North America,High income,1990,0.0,,,11356.943,34646.547,22944.13,7242.9595,29555.926,0.19183865,0.0,444.63837,106191.33570865,64.92772648530095,27789437.0,17.140166578412362,458017860.0,1051178250000.0
ETS_CA_Ontario,Ontario CaT,ETS,Abolished,Ontario,North America,High income,1990,0.0,,,11356.943,34646.547,22944.13,7242.9595,29555.926,0.19183865,0.0,444.63837,106191.33570865,64.92772648530095,27789437.0,17.140166578412362,458017860.0,1051178250000.0
ETS_CA_Ontario2,Ontario EPS,ETS,Implemented,Ontario,North America,High income,1990,0.0,,,11356.943,34646.547,22944.13,7242.9595,29555.926,0.19183865,0.0,444.63837,106191.33570865,64.92772648530095,27789437.0,17.140166578412362,458017860.0,1051178250000.0
ETS_US_Oregon,Oregon ETS,ETS,Implemented,Oregon,North America,High income,1990,0.0,,0.0,21067.713,36742.098,20407.178,6657.093,3204.328,30.880726,4.065091,708.67883,88822.034647,88.06034370959078,253373387.0,19.350374800604705,5131760600.0,10977047000000.0
Tax_PL,Poland carbon tax,Carbon tax,Implemented,Poland,Europe & Central Asia,High income,1990,0.0037610327006537,,1.052631579,23971.941,4986.28,2731.4355,0.0,103.430954,0.0,0.0,4.516436,31797.60389,99.66051721892809,38055448.0,17.454554838326416,376341540.0,383956968750.0
Tax_PT,Portugal carbon tax,Carbon tax,Implemented,Portugal,Europe & Central Asia,High income,1990,0.0,,,3315.6968,14038.654,0.0,0.0,2546.2778,0.2668339,0.0,216.78958,20117.6850139,86.26415409133446,9989526.0,16.117047802156467,45310736.0,171361468750.0
Tax_CA_PE,Prince Edward Island carbon tax,Carbon tax,Abolished,Prince Edward Island,North America,High income,1990,0.0,,,11356.943,34646.547,22944.13,7242.9595,29555.926,0.19183865,0.0,444.63837,106191.33570865,64.92772648530095,27789437.0,17.140166578412362,458017860.0,1051178250000.0
ETS_CA_Quebec,Quebec CaT,ETS,Implemented,Quebec,North America,High income,1990,0.0,,,11356.943,34646.547,22944.13,7242.9595,29555.926,0.19183865,0.0,444.63837,106191.33570865,64.92772648530095,27789437.0,17.140166578412362,458017860.0,1051178250000.0
ETS_RGGI,RGGI,ETS,Implemented,RGGI,North America,High income,1990,0.0,,,21067.713,36742.098,20407.178,6657.093,3204.328,30.880726,4.065091,708.67883,88822.034647,88.06034370959078,253373387.0,19.350374800604705,5131760600.0,10977047000000.0
ETS_JP_Saitama,Saitama ETS,ETS,Implemented,Saitama,East Asia & Pacific,High income,1990,0.0,,,7355.6846,23734.232,4077.4705,4379.877,1956.0409,0.0,0.022510398,287.17957,41790.507080398,84.15161613699442,123399767.0,18.630939789368963,1154853200.0,4169953250000.0
ETS_CA_SK,Saskatchewan OBPS,ETS,Abolished,Saskatchewan,North America,High income,1990,0.0,,,11356.943,34646.547,22944.13,7242.9595,29555.926,0.19183865,0.0,444.63837,106191.33570865,64.92772648530095,27789437.0,17.140166578412362,458017860.0,1051178250000.0
ETS_CN_Shanghai,Shanghai pilot ETS,ETS,Implemented,Shanghai,East Asia & Pacific,Upper middle income,1990,0.0,,,5317.7954,1104.8817,133.65611,0.0,305.19406,0.00486456,0.004815914,0.17337292,6861.710323393999,95.54954815925615,1153582725.0,20.866138350388397,2483534300.0,2218396500000.0
ETS_CN_Shenzhen,Shenzhen pilot ETS,ETS,Implemented,Shenzhen,East Asia & Pacific,Upper middle income,1990,0.0,,,5317.7954,1104.8817,133.65611,0.0,305.19406,0.00486456,0.004815914,0.17337292,6861.710323393999,95.54954815925615,1153582725.0,20.866138350388397,2483534300.0,2218396500000.0
Tax_SG,Singapore carbon tax,Carbon tax,Implemented,Singapore,East Asia & Pacific,High income,1990,0.0,,,82.0637,89677.41,0.0,0.0,0.0,0.0,0.0,87.38834,89846.86204,99.9027363471402,3039593.0,14.927234511831879,43535576.0,97282093750.0
Tax_SL,Slovenia carbon tax,Carbon tax,Implemented,Slovenia,Europe & Central Asia,High income,1990,0.0,,,9159.598,10018.613,4465.318,6425.8384,4134.669,0.0,0.0,0.0,34204.0364,69.12496736788644,1998010.0,14.507662743680987,15097327.0,45119816406.0
Tax_ZA,South Africa carbon tax,Carbon tax,Implemented,South Africa,Sub-Saharan Africa,Upper middle income,1990,0.0,,,19213.969,4910.9204,483.6952,575.9899,68.85428,0.0,0.0,0.0,25253.42878,97.44650841033238,40746274.0,17.522874982429958,312933900.0,387422468750.0
Tax_ES,Spain carbon tax,Carbon tax,Implemented,Spain,Europe & Central Asia,High income,1990,0.0,,,5716.661,14240.768,1478.6858,3856.8386,1806.1783,0.99498314,0.42642128,43.335068,27143.88817242,78.97216000830906,39084975.0,17.48124870559007,229382620.0,815789687500.0
Tax_SE,Sweden carbon tax,Carbon tax,Implemented,Sweden,Europe & Central Asia,High income,1990,0.0,,,4026.0364,22157.338,702.2063,22130.186,23533.59,1.9473655,0.0,709.44965,73260.7537155,36.698476792099584,8558571.0,15.96244391177161,57416508.0,297293250000.0
Tax_CH,Switzerland carbon tax,Carbon tax,Implemented,Switzerland,Europe & Central Asia,High income,1990,0.0,,,616.11914,22984.342,2543.8809,9712.081,12329.767,0.0,0.41378048,203.89032,48390.49414048,54.027846800038205,6713168.0,15.71958167763752,44148692.0,309276156250.0
ETS_CH,Switzerland ETS,ETS,Implemented,Switzerland,Europe & Central Asia,High income,1990,0.0,,,616.11914,22984.342,2543.8809,9712.081,12329.767,0.0,0.41378048,203.89032,48390.49414048,54.027846800038205,6713168.0,15.71958167763752,44148692.0,309276156250.0
Tax_MX_TA,Tamaulipas carbon tax,Carbon tax,Implemented,Tamaulipas,Latin America & Caribbean,Upper middle income,1990,0.0,,,473.81107,11064.771,3238.0417,98.50659,821.08765,0.033539873,0.033539873,193.34059,15889.625679746001,92.99541768838073,82820170.0,18.23218220079823,316745800.0,1224476625000.0
ETS_CN_Tianjin,Tianjin pilot ETS,ETS,Implemented,Tianjin,East Asia & Pacific,Upper middle income,1990,0.0,,,5317.7954,1104.8817,133.65611,0.0,305.19406,0.00486456,0.004815914,0.17337292,6861.710323393999,95.54954815925615,1153582725.0,20.866138350388397,2483534300.0,2218396500000.0
ETS_JP_Tokyo,Tokyo CaT,ETS,Implemented,Tokyo,East Asia & Pacific,High income,1990,0.0,,,7355.6846,23734.232,4077.4705,4379.877,1956.0409,0.0,0.022510398,287.17957,41790.507080398,84.15161613699442,123399767.0,18.630939789368963,1154853200.0,4169953250000.0
Tax_UA,Ukraine carbon tax,Carbon tax,Implemented,Ukraine,Europe & Central Asia,Upper middle income,1990,0.0,,,18556.314,14827.693,23238.79,4065.1619,561.0616,0.0,0.0,0.0,61249.0205,92.44686125225464,52054096.0,17.76779406270374,706525700.0,688208187500.0
Tax_UK,UK Carbon Price Support,Carbon tax,Implemented,United Kingdom,Europe & Central Asia,High income,1990,0.0,,,13166.087,17443.932,9565.255,3183.596,247.77708,0.435784,0.0,32.455013,43639.537876999995,92.06163940882193,57367867.0,17.864994913607582,601945100.0,1731089625000.0
ETS_UK,UK ETS,ETS,Implemented,United Kingdom,Europe & Central Asia,High income,1990,0.0,,,13166.087,17443.932,9565.255,3183.596,247.77708,0.435784,0.0,32.455013,43639.537876999995,92.06163940882193,57367867.0,17.864994913607582,601945100.0,1731089625000.0
Tax_UY,Uruguay CO2 tax,Carbon tax,Implemented,Uruguay,Latin America & Caribbean,High income,1990,0.0,,,608.43054,5304.9937,1827.7926,89.42946,3268.8496,0.0,0.0,57.88387,11157.37977,69.38203233714971,3104404.0,14.948332628578012,3976825.0,33375484375.0
ETS_US_Washington,Washington CCA,ETS,Implemented,Washington,North America,High income,1990,0.0,,,21067.713,36742.098,20407.178,6657.093,3204.328,30.880726,4.065091,708.67883,88822.034647,88.06034370959078,253373387.0,19.350374800604705,5131760600.0,10977047000000.0
Tax_MX_ZA,Zacatecas carbon tax,Carbon tax,Implemented,Zacatecas,Latin America & Caribbean,Upper middle income,1990,0.0,,,473.81107,11064.771,3238.0417,98.50659,821.08765,0.033539873,0.033539873,193.34059,15889.625679746001,92.99541768838073,82820170.0,18.23218220079823,316745800.0,1224476625000.0
Tax_AL,Albania carbon tax,Carbon tax,Implemented,Albania,Europe & Central Asia,Upper middle income,1991,0.0,,,11078.536,17348.625,12693.926,3964.116,2513.079,3.740738,0.05927567,83.978546,47686.06055967,86.23292953408222,3282608.0,15.004149091005331,4290226.0,11206384765.0
Tax_CA_Alberta,Alberta carbon tax,Carbon tax,Abolished,Alberta,North America,High income,1991,0.0,,,10849.681,32413.53,22800.979,8320.261,30313.59,0.18933335,0.0,442.16116,105140.39149335,62.83426289522469,28157154.0,17.153312054320715,449776450.0,1024213000000.0
ETS_CA_Alberta,Alberta TIER,ETS,Implemented,Alberta,North America,High income,1991,0.0,,,10849.681,32413.53,22800.979,8320.261,30313.59,0.18933335,0.0,442.16116,105140.39149335,62.83426289522469,28157154.0,17.153312054320715,449776450.0,1024213000000.0
Tax_AR,Argentina carbon tax,Carbon tax,Implemented,Argentina,Latin America & Caribbean,Upper middle income,1991,0.0,,,324.82446,7264.304,6046.245,648.33746,1326.5383,0.0,0.0,12.320093,15622.569313,87.27996776211198,33230293.0,17.318972487718664,117726930.0,268435906250.0
ETS_AU1,Australia CPM,ETS,Abolished,Australia,East Asia & Pacific,High income,1991,0.0,,,26119.916,21970.297,9267.519,0.0,2505.703,0.0,0.87239796,129.5691,59993.87649796001,95.60597738995972,17353191.0,16.669287024380704,279437380.0,568047437500.0
ETS_AU2,Australia Safeguard Mechanism,ETS,Implemented,Australia,East Asia & Pacific,High income,1991,0.0,,,26119.916,21970.297,9267.519,0.0,2505.703,0.0,0.87239796,129.5691,59993.87649796001,95.60597738995972,17353191.0,16.669287024380704,279437380.0,568047437500.0
ETS_AT,Austria ETS,ETS,Implemented,Austria,Europe & Central Asia,High income,1991,0.0,,,6442.0215,17644.824,8465.0,0.0,11259.662,0.0,0.0,493.83212,44305.33962,73.47160811584362,7757140.0,15.864124396438141,65790084.0,241408812500.0
Tax_MX_BC,Baja California carbon tax,Carbon tax,Abolished,Baja California,Latin America & Caribbean,Upper middle income,1991,0.0,,,449.54102,11153.836,3344.3,139.56241,744.3744,0.032900143,0.06580029,215.8768,16047.589330433,93.14593433452897,84430565.0,18.25144005040149,329831040.0,1272487000000.0
ETS_CN_Beijing,Beijing pilot ETS,ETS,Implemented,Beijing,East Asia & Pacific,Upper middle income,1991,0.0,,,5494.9526,1177.9614,133.34473,0.0,295.83325,0.021568816,0.00474514,0.17082505,7102.289119005998,95.8319017425831,1170788533.0,20.880943319430326,2619143400.0,2447075250000.0
Tax_CA_BC,BC carbon tax,Carbon tax,Abolished,British Columbia,North America,High income,1991,0.0,,,10849.681,32413.53,22800.979,8320.261,30313.59,0.18933335,0.0,442.16116,105140.39149335,62.83426289522469,28157154.0,17.153312054320715,449776450.0,1024213000000.0
ETS_CA_BC,BC OBPS,ETS,Implemented,British Columbia,North America,High income,1991,0.0,,,10849.681,32413.53,22800.979,8320.261,30313.59,0.18933335,0.0,442.16116,105140.39149335,62.83426289522469,28157154.0,17.153312054320715,449776450.0,1024213000000.0
ETS_US_California,California CaT,ETS,Implemented,California,North America,High income,1991,0.0,,,20616.773,35528.008,20602.578,6983.725,3111.956,32.28385,5.179837,737.7986,87618.30228700001,87.59283961997863,256471424.0,19.362527812860495,5076412400.0,10937097000000.0
Tax_CA,Canada federal fuel charge,Carbon tax,Abolished,Canada,North America,High income,1991,0.0,,,10849.681,32413.53,22800.979,8320.261,30313.59,0.18933335,0.0,442.16116,105140.39149335,62.83426289522469,28157154.0,17.153312054320715,449776450.0,1024213000000.0
ETS_CA,Canada federal OBPS,ETS,Implemented,Canada,North America,High income,1991,0.0,,,10849.681,32413.53,22800.979,8320.261,30313.59,0.18933335,0.0,442.16116,105140.39149335,62.83426289522469,28157154.0,17.153312054320715,449776450.0,1024213000000.0
Tax_CL,Chile carbon tax,Carbon tax,Implemented,Chile,Latin America & Caribbean,High income,1991,0.0,,,1821.4753,6476.3467,1424.0332,0.0,2670.666,0.0,0.0,236.27663,12628.79783,76.98163618476424,13662482.0,16.430164167184365,30891790.0,121397812500.0
ETS_CN,China national ETS,ETS,Implemented,China,East Asia & Pacific,Upper middle income,1991,0.0,,,5494.9526,1177.9614,133.34473,0.0,295.83325,0.021568816,0.00474514,0.17082505,7102.289119005998,95.8319017425831,1170788533.0,20.880943319430326,2619143400.0,2447075250000.0
ETS_CN_Chongqing,Chongqing pilot ETS,ETS,Implemented,Chongqing,East Asia & Pacific,Upper middle income,1991,0.0,,,5494.9526,1177.9614,133.34473,0.0,295.83325,0.021568816,0.00474514,0.17082505,7102.289119005998,95.8319017425831,1170788533.0,20.880943319430326,2619143400.0,2447075250000.0
Tax_CO,Colombia carbon tax,Carbon tax,Implemented,Colombia,Latin America & Caribbean,Upper middle income,1991,0.0,,,706.0425,3455.5505,1165.6918,0.0,2326.9084,0.0,0.0,25.397774,7679.590974,69.36938201573545,33098373.0,17.314994715273606,56609030.0,282256625000.0
Tax_DK,Denmark carbon tax,Carbon tax,Implemented,Denmark,Europe & Central Asia,High income,1991,0.0,,,18639.467,21164.047,4713.656,0.0,13.688556,398.85434,0.0,215.23099,45144.943885999994,98.60942592467221,5154346.0,15.455350994276598,64104610.0,167636156250.0
